iter	Passed	Remaining
478	82428	4219701
479	82609	4219991
480	82795	4220512
481	82954	4219654
482	83124	4219400
483	83287	4218734
484	83449	4218061
485	83639	4218786
486	83833	4219746
487	84011	4219851
488	84196	4220317
489	84384	4220958
490	84575	4221735
491	84769	4222616
492	84951	4222947
493	85137	4223437
494	85333	4224459
495	85514	4224707
496	85664	4223405
497	85840	4223432
498	86011	4223176
499	86185	4223073
500	86387	4224355
501	86567	4224582
502	86746	4224710
503	86918	4224497
504	87098	4224711
505	87295	4225699
506	87476	4225965
507	87638	4225279
508	87813	4225203
509	87997	4225615
510	88178	4225832
511	88346	4225467
512	88535	4226052
513	88720	4226478
514	88891	4226214
515	89127	4229079
516	89309	4229337
517	89518	4230854
518	89705	4231370
519	89880	4231290
520	90063	4231616
521	90246	4231892
522	90431	4232286
523	90600	4231935
524	90788	4232452
525	90963	4232383
526	91155	4233087
527	91344	4233694
528	91513	4233337
529	91692	4233424
530	91853	4232682
531	92038	4233097
532	92224	4233501
533	92403	4233588
534	92583	4233769
535	92765	4234002
536	92943	4234045
537	93113	4233708
538	93270	4232797
539	93448	4232865
540	93614	4232379
541	93778	4231787
542	93983	4233052
543	94150	4232600
544	94334	4232938
545	94488	4231919
546	94666	4231959
547	94856	4232549
548	95014	4231704
549	95194	4231830
550	95373	4231910
551	95551	4231950
552	95729	4231990
553	95909	4232126
554	96092	4232395
555	96271	4232487
556	96459	4232978
557	96652	4233645
558	96825	4233469
559	97000	4233384
560	97163	4232766
561	97323	4232021
562	97492	4231675
563	97670	4231710
564	97853	4231958
565	98030	4231936
566	98204	4231817
567	98366	4231152
568	98545	4231233
569	98714	4230881
570	98860	4229537
571	99025	4229011
572	99193	4228639
573	99345	4227537
574	99517	4227328
575	99697	4227464
576	99868	4227172
577	100029	4226498
578	100196	4226066
579	100391	4226826
580	100597	4228042
581	100779	4228223
582	100965	4228586
583	101144	4228657
584	101320	4228624
585	101502	4228822
586	101672	4228503
587	101862	4229041
588	102054	4229612
589	102232	4229651
590	102417	4229963
591	102607	4230483
592	102786	4230524
593	102949	4229950
594	103122	4229740
595	103292	4229436
596	103467	4229326
597	103649	4229520
598	103815	4229041
599	103996	4229175
600	104176	4229282
601	104351	4229167
602	104525	4229055
603	104700	4228929
604	104862	4228279
605	105021	4227530
606	105187	4227069
607	105359	4226856
608	105531	4226643
609	105709	4226628
610	105896	4227009
611	106070	4226870
612	106264	4227510
613	106429	4227019
614	106599	4226703
615	106777	4226723
616	106956	4226757
617	107124	4226407
618	107301	4226368
619	107473	4226120
620	107641	4225767
621	107824	4225955
622	107991	4225518
623	108152	4224861
624	108314	4224278
625	108498	4224497
626	108686	4224905
627	108870	4225155
628	109061	4225648
629	109238	4225619
630	109424	4225942
631	109610	4226249
632	109767	4225460
633	109945	4225461
634	110124	4225492
635	110310	4225804
636	110477	4225384
637	110640	4224804
638	110830	4225268
639	111005	4225151
640	111179	4224994
