,Start,End,Duration
167,1520856.451,1547521.386,26664.935000000056
168,1520941.717,1539608.982,18667.26500000013
169,1520955.298,1540436.632,19481.33400000003
170,1528209.609,1540436.636,12227.027000000002
171,1521106.146,1547089.423,25983.277000000002
172,1521106.901,1544670.2,23563.298999999883
173,1521110.905,1542424.105,21313.199999999953
174,1521204.88,1544013.285,22808.405000000028
175,1521206.973,1539831.825,18624.851999999955
176,1521212.541,1539831.829,18619.287999999942
177,1521453.614,1539348.171,17894.55700000003
178,1521457.743,1544497.381,23039.638000000035
179,1521465.814,1548990.209,27524.39500000002
180,1521542.871,1539313.648,17770.777000000002
181,1521567.698,1542251.296,20683.597999999998
182,1535711.404,1536635.056,923.6520000000019
183,1521734.392,1539400.051,17665.658999999985
184,1521734.784,1543374.2,21639.41599999997
185,1521797.869,1536635.066,14837.19700000016
186,1521809.267,1537326.233,15516.966000000015
187,1522052.793,1537585.462,15532.668999999994
188,1522056.763,1539794.249,17737.486000000034
189,1522060.42,1539400.055,17339.63500000001
190,1522067.137,1536591.406,14524.268999999855
191,1522084.782,1544013.175,21928.393000000156
192,1522148.051,1524023.235,1875.1840000001248
193,1522150.287,1541164.406,19014.118999999948
194,1522157.809,1537775.677,15617.868000000017
195,1522233.408,1538103.867,15870.459000000032
196,1522236.583,1539400.059,17163.47599999979
197,1522243.143,1547262.275,25019.131999999983
198,1522248.415,1524023.622,1775.2069999999367
199,1522326.596,1524193.912,1867.316000000108
200,1522317.793,1542424.111,20106.31799999997
201,1522320.517,1537585.472,15264.955000000075
202,1522323.351,1547089.43,24766.07899999991
203,1522325.246,1536588.247,14263.000999999931
204,1522410.927,1536894.275,14483.347999999998
205,1522422.202,1540436.642,18014.439999999944
206,1522747.199,1536807.902,14060.70299999998
207,1522757.799,1540436.647,17678.847999999998
208,1522769.735,1537931.053,15161.31799999997
209,1536341.783,1536807.907,466.1239999998361
210,1522835.95,1537239.826,14403.875999999931
211,1522836.326,1540492.432,17656.106000000145
212,1522838.351,1539745.416,16907.064999999944
213,1522838.85,1543287.783,20448.93299999996
214,1522840.231,1537412.634,14572.403000000166
215,1538570.962,1538571.062,0.09999999986030161
216,1522918.138,1539342.582,16424.4439999999
217,1536222.837,1537412.639,1189.8019999999087
218,1524756.997,1542683.398,17926.40100000007
219,1537895.124,1539400.064,1504.9399999999441
220,1523004.862,1524025.633,1020.7709999999497
221,1523017.385,1549940.58,26923.195000000065
222,1523266.103,1539943.299,16677.19600000023
223,1523622.704,1536980.692,13357.988000000129
224,1523290.323,1536894.279,13603.956000000006
225,1523355.449,1539776.675,16421.226000000024
226,1523356.193,1537585.476,14229.283000000054
227,1523365.305,1544843.861,21478.5560000001
228,1523436.858,1539313.656,15876.797999999952
229,1523438.129,1536807.912,13369.783000000054
230,1523439.984,1539313.66,15873.675999999978
231,1523444.65,1539745.42,16300.770000000019
232,1523447.185,1536894.284,13447.09899999993
233,1523452.506,1543893.098,20440.591999999946
234,1523522.934,1538017.441,14494.507000000216
235,1537894.301,1538103.873,209.57199999992736
236,1523532.203,1545706.991,22174.787999999942
237,1523533.715,1540350.219,16816.503999999957
238,1523533.793,1536807.916,13274.122999999905
239,1523547.091,1547635.072,24087.980999999912
240,1523545.044,1536807.921,13262.877000000095
241,1539861.624,1540868.588,1006.9639999999199
242,1529941.134,1539608.153,9667.018999999855
243,1523617.102,1545448.417,21831.314999999944
244,1523617.925,1536721.444,13103.518999999855
245,1523873.877,1536980.697,13106.819999999832
246,1535447.499,1536807.926,1360.4269999999087
247,1523883.858,1537173.914,13290.056000000099
248,1523892.151,1537585.481,13693.329999999842
249,1536316.543,1536635.071,318.52799999993294
250,1523957.23,1537173.189,13215.959000000032
251,1540290.772,1540436.652,145.87999999988824
252,1523960.091,1548154.889,24194.79799999995
253,1523963.772,1539831.833,15868.060999999987
254,1523965.981,1537844.617,13878.636000000173
255,1523981.485,1539313.667,15332.181999999797
256,1524483.65,1541754.679,17271.029000000097
257,1541418.062,1548817.39,7399.3279999999795
258,1524056.307,1542251.301,18194.993999999948
259,1524063.892,1536807.931,12744.039000000106
260,1524562.613,1540868.592,16305.97900000005
261,1524143.787,1544525.081,20381.293999999994
262,1537346.924,1538103.881,756.9569999999367
263,1524152.528,1536894.294,12741.766000000061
